BlockTime,Miner0Proportion,Difficulty
191,279248222,1.00000,1.00000
192,279812142,1.00000,1.00000
193,279951298,1.00000,1.00000
194,281039660,1.00000,1.00000
195,282804289,1.00000,1.00000
196,283705466,1.00000,1.00000
197,286304265,1.00000,1.00000
198,288431589,1.00000,1.00000
199,289573830,1.00000,1.00000
200,289741669,1.00000,1.00000
201,292414265,1.00000,1.00000
202,293019619,1.00000,1.00000
203,297455391,1.00000,1.00000
204,298532090,1.00000,1.00000
205,299192594,1.00000,1.00000
206,299916951,1.00000,1.00000
207,302332294,1.00000,1.00000
208,305864842,1.00000,1.00000
209,307878284,1.00000,1.00000
210,308174142,1.00000,1.00000
211,311882816,1.00000,1.00000
212,313394897,1.00000,1.00000
213,313652668,1.00000,1.00000
214,314451149,1.00000,1.00000
215,314546510,1.00000,1.00000
216,315154270,1.00000,1.00000
217,315175253,1.00000,1.00000
218,315371326,1.00000,1.00000
219,315963883,1.00000,1.00000
220,320517560,1.00000,1.00000
221,321087963,1.00000,1.00000
222,321305042,1.00000,1.00000
223,321431360,1.00000,1.00000
224,323150600,1.00000,1.00000
225,323433024,1.00000,1.00000
226,323902573,1.00000,1.00000
227,324493833,1.00000,1.00000
228,324745323,1.00000,1.00000
229,327007346,1.00000,1.00000
230,327729763,1.00000,1.00000
231,332240476,1.00000,1.00000
232,332815096,1.00000,1.00000
233,334259691,1.00000,1.00000
234,336111730,1.00000,1.00000
235,336857623,1.00000,1.00000
236,339325513,1.00000,1.00000
237,339440830,1.00000,1.00000
238,340022735,1.00000,1.00000
239,341052978,1.00000,1.00000
240,344931301,1.00000,1.00000
241,348626715,1.00000,1.00000
242,349653380,1.00000,1.00000
243,350047366,1.00000,1.00000
244,352520049,1.00000,1.00000
245,353203213,1.00000,1.00000
246,353273521,1.00000,1.00000
247,353360339,1.00000,1.00000
248,354862601,1.00000,1.00000
249,355756797,1.00000,1.00000
250,356916253,1.00000,1.00000
251,357208432,1.00000,1.00000
252,357229441,1.00000,1.00000
253,358305212,1.00000,1.00000
254,361017881,1.00000,1.00000
255,362626439,1.00000,1.00000
256,366619960,1.00000,1.00000
257,367355760,1.00000,1.00000
258,369508074,1.00000,1.00000
259,369617088,1.00000,1.00000
260,370785297,1.00000,1.00000
261,371869167,1.00000,1.00000
262,372205513,1.00000,1.00000
263,373453131,1.00000,1.00000
264,374091198,1.00000,1.00000
265,375008716,1.00000,1.00000
266,376113038,1.00000,1.00000
267,377675931,1.00000,1.00000
268,378638335,1.00000,1.00000
269,380971219,1.00000,1.00000
270,382906695,1.00000,1.00000
271,382960673,1.00000,1.00000
272,383732345,1.00000,1.00000
273,387119990,1.00000,1.00000
274,387448785,1.00000,1.00000
275,388771393,1.00000,1.00000
276,391773217,1.00000,1.00000
277,391852892,1.00000,1.00000
278,392200159,1.00000,1.00000
279,394179866,1.00000,1.00000
280,394330560,1.00000,1.00000
281,394414392,1.00000,1.00000
282,395016216,1.00000,1.00000
283,395488081,1.00000,1.00000
284,397136343,1.00000,1.00000
285,398630000,1.00000,1.00000
286,398789471,1.00000,1.00000
287,399300052,1.00000,1.00000
288,399659692,1.00000,1.00000
289,400573524,1.00000,1.00000
290,401156696,1.00000,1.00000
291,404655104,1.00000,1.00000
292,406989749,1.00000,1.00000
293,408659695,1.00000,1.00000
294,410192535,1.00000,1.00000
295,411714773,1.00000,1.00000
296,411936367,1.00000,1.00000
297,412493894,1.00000,1.00000
298,413089476,1.00000,1.00000
299,415452494,1.00000,1.00000
