BlockTime,Miner0Proportion,Difficulty
370,335089671,0.78108,1.00000
372,339118230,0.77957,1.00000
373,339930366,0.78016,1.00000
374,340348197,0.78075,1.00000
375,341752835,0.78133,1.00000
376,344589332,0.78191,1.00000
377,344993317,0.78249,1.00000
378,345492484,0.78307,1.00000
379,348312062,0.78364,1.00000
380,348532902,0.78421,1.00000
381,349690673,0.78478,1.00000
382,349714798,0.78534,1.00000
383,349916502,0.78590,1.00000
384,350603551,0.78646,1.00000
385,350970534,0.78701,1.00000
387,355367794,0.78553,1.00000
388,356610641,0.78608,1.00000
389,357035727,0.78663,1.00000
390,357286056,0.78718,1.00000
391,358169234,0.78772,1.00000
392,358855682,0.78827,1.00000
393,360270001,0.78880,1.00000
394,360572094,0.78934,1.00000
395,361839525,0.78987,1.00000
396,363122428,0.79040,1.00000
397,364415167,0.79093,1.00000
398,365304500,0.79146,1.00000
399,366843572,0.79198,1.00000
400,368111560,0.79250,1.00000
401,368226202,0.79302,1.00000
403,369872453,0.79156,1.00000
404,370761187,0.79208,1.00000
406,372566991,0.79064,1.00000
409,376008062,0.78729,1.00000
410,376980783,0.78780,1.00000
411,377223560,0.78832,1.00000
412,378644781,0.78883,1.00000
414,381076640,0.78744,1.00000
416,385352189,0.78606,1.00000
417,385860548,0.78657,1.00000
418,386921493,0.78708,1.00000
420,388935994,0.78571,1.00000
421,390445922,0.78622,1.00000
422,390914575,0.78673,1.00000
423,391064123,0.78723,1.00000
424,392193095,0.78774,1.00000
425,393648788,0.78824,1.00000
426,393949634,0.78873,1.00000
427,394393447,0.78923,1.00000
428,394753507,0.78972,1.00000
429,395936538,0.79021,1.00000
430,396127779,0.79070,1.00000
431,397841418,0.79118,1.00000
432,398399362,0.79167,1.00000
433,398747275,0.79215,1.00000
434,399058031,0.79263,1.00000
435,400342835,0.79310,1.00000
436,400405275,0.79358,1.00000
437,400519854,0.79405,1.00000
438,401836397,0.79452,1.00000
439,402392318,0.79499,1.00000
440,404649572,0.79545,1.00000
441,405578978,0.79592,1.00000
442,407564609,0.79638,1.00000
443,408058851,0.79684,1.00000
444,408474278,0.79730,1.00000
447,413462897,0.79195,1.00000
449,416259717,0.78842,1.00000
450,417518956,0.78889,1.00000
451,419138309,0.78936,1.00000
452,420626475,0.78982,1.00000
453,422039835,0.79029,1.00000
454,423100879,0.79075,1.00000
455,423591752,0.79121,1.00000
456,423623063,0.79167,1.00000
457,424001574,0.79212,1.00000
458,425199144,0.79258,1.00000
459,425440382,0.79303,1.00000
460,426604578,0.79348,1.00000
461,426838494,0.79393,1.00000
462,427776160,0.79437,1.00000
465,429916136,0.78925,1.00000
466,430406770,0.78970,1.00000
467,431202385,0.79015,1.00000
468,432447579,0.79060,1.00000
469,434257673,0.79104,1.00000
470,434542978,0.79149,1.00000
471,436495580,0.79193,1.00000
472,437395085,0.79237,1.00000
473,437841157,0.79281,1.00000
474,440409014,0.79325,1.00000
475,440778718,0.79368,1.00000
476,442049168,0.79412,1.00000
477,442076168,0.79455,1.00000
478,442147575,0.79498,1.00000
479,442524300,0.79541,1.00000
480,442869030,0.79583,1.00000
481,442989451,0.79626,1.00000
482,443011558,0.79668,1.00000
483,443116023,0.79710,1.00000
484,443369326,0.79752,1.00000
485,445360839,0.79794,1.00000
486,447417292,0.79835,1.00000
487,448207954,0.79877,1.00000
488,449158012,0.79918,1.00000
489,450257139,0.79959,1.00000
490,450402216,0.80000,1.00000
491,450548034,0.80041,1.00000
492,452206089,0.80081,1.00000
493,452873128,0.80122,1.00000
495,454772165,0.80000,1.00000
496,454809020,0.80040,1.00000
497,456749552,0.80080,1.00000
498,457892074,0.80120,1.00000
499,458068291,0.80160,1.00000
500,458536980,0.80200,1.00000
502,460731752,0.80080,1.00000
503,462227016,0.80119,1.00000
504,462934037,0.80159,1.00000
506,465538864,0.80040,1.00000
507,465580420,0.80079,1.00000
509,467337497,0.79961,1.00000
510,470160050,0.80000,1.00000
511,470899352,0.80039,1.00000
512,470919083,0.80078,1.00000
513,471294679,0.80117,1.00000
514,471782921,0.80156,1.00000
515,471923720,0.80194,1.00000
516,473475663,0.80233,1.00000
517,473800033,0.80271,1.00000
518,476261862,0.80309,1.00000
520,478151820,0.80192,1.00000
521,479260665,0.80230,1.00000
522,479396222,0.80268,1.00000
524,484087035,0.80153,1.00000
525,484348566,0.80190,1.00000
526,485278180,0.80228,1.00000
529,488319806,0.79962,1.00000
530,489031184,0.80000,1.00000
531,490501552,0.80038,1.00000
533,492734550,0.79925,1.00000
535,494064908,0.79626,1.00000
536,494248681,0.79664,1.00000
537,494343410,0.79702,1.00000
538,496172531,0.79740,1.00000
539,497447970,0.79777,1.00000
540,499049369,0.79815,1.00000
541,499534704,0.79852,1.00000
542,499962699,0.79889,1.00000
543,501259791,0.79926,1.00000
544,501888953,0.79963,1.00000
545,501915543,0.80000,1.00000
546,503399748,0.80037,1.00000
547,503837345,0.80073,1.00000
548,504131001,0.80109,1.00000
549,506296194,0.80146,1.00000
550,506682019,0.80182,1.00000
553,510622011,0.79928,1.00000
554,512186334,0.79964,1.00000
555,513332176,0.80000,1.00000
556,514371442,0.80036,1.00000
557,514480747,0.80072,1.00000
558,514543253,0.80108,1.00000
559,515495217,0.80143,1.00000
560,515500300,0.80179,1.00000
561,515516978,0.80214,1.00000
563,518670706,0.80107,1.00000
564,518778715,0.80142,1.00000
565,519901353,0.80177,1.00000
566,520602287,0.80212,1.00000
567,523021449,0.80247,1.00000
568,523799041,0.80282,1.00000
569,524077852,0.80316,1.00000
570,524774517,0.80351,1.00000
571,524831669,0.80385,1.00000
572,525038811,0.80420,1.00000
573,526768872,0.80454,1.00000
574,527495761,0.80488,1.00000
575,527517867,0.80522,1.00000
576,528398525,0.80556,1.00000
577,529464536,0.80589,1.00000
578,530110183,0.80623,1.00000
579,530875653,0.80656,1.00000
580,531093114,0.80690,1.00000
581,532603964,0.80723,1.00000
582,533007222,0.80756,1.00000
583,534181949,0.80789,1.00000
585,536183636,0.80513,1.00000
586,536815634,0.80546,1.00000
587,537208249,0.80579,1.00000
588,537626650,0.80612,1.00000
590,540980062,0.80508,1.00000
591,541696840,0.80541,1.00000
592,542448569,0.80574,1.00000
593,542671169,0.80607,1.00000
594,543847329,0.80640,1.00000
595,545508686,0.80672,1.00000
597,546863759,0.80235,1.00000
599,548816939,0.79967,1.00000
601,551237167,0.79867,1.00000
602,553846535,0.79900,1.00000
603,555915353,0.79934,1.00000
605,558577649,0.79504,1.00000
606,560416612,0.79538,1.00000
607,560958320,0.79572,1.00000
608,561632131,0.79605,1.00000
609,561873767,0.79639,1.00000
610,561981678,0.79672,1.00000
611,562295189,0.79705,1.00000
612,562400815,0.79739,1.00000
613,562557750,0.79772,1.00000
614,562994092,0.79805,1.00000
615,564606340,0.79837,1.00000
616,565223424,0.79870,1.00000
617,568879918,0.79903,1.00000
618,569200354,0.79935,1.00000
619,569545156,0.79968,1.00000
620,569765000,0.80000,1.00000
621,569808593,0.80032,1.00000
622,570953521,0.80064,1.00000
623,572501869,0.80096,1.00000
624,572956113,0.80128,1.00000
625,573771974,0.80160,1.00000
626,577040799,0.80192,1.00000
627,577293428,0.80223,1.00000
629,579305964,0.80127,1.00000
630,581005802,0.80159,1.00000
633,583787919,0.79937,1.00000
634,584125372,0.79968,1.00000
635,585130915,0.80000,1.00000
636,585476221,0.80031,1.00000
637,585498617,0.80063,1.00000
638,585709340,0.80094,1.00000
639,585750222,0.80125,1.00000
640,586649275,0.80156,1.00000
641,587003479,0.80187,1.00000
642,587524688,0.80218,1.00000
643,588300796,0.80249,1.00000
644,588311714,0.80280,1.00000
645,589519281,0.80310,1.00000
646,591471194,0.80341,1.00000
647,591476895,0.80371,1.00000
648,591943328,0.80401,1.00000
649,594409275,0.80431,1.00000
652,596880986,0.80061,1.00000
654,600236301,0.79969,1.00000
655,601371361,0.80000,1.00000
656,601660379,0.80030,1.00000
658,603559282,0.79939,1.00000
659,604827463,0.79970,1.00000
661,606497230,0.79728,1.00000
662,607429383,0.79758,1.00000
663,608320949,0.79789,1.00000
664,609085363,0.79819,1.00000
665,611104131,0.79850,1.00000
666,611163800,0.79880,1.00000
667,611338557,0.79910,1.00000
668,612414435,0.79940,1.00000
670,615508246,0.79851,1.00000
671,616312218,0.79881,1.00000
672,616611808,0.79911,1.00000
673,617518735,0.79941,1.00000
674,617618191,0.79970,1.00000
675,618959005,0.80000,1.00000
676,619107518,0.80030,1.00000
677,619698923,0.80059,1.00000
678,620955343,0.80088,1.00000
679,621325336,0.80118,1.00000
680,622394702,0.80147,1.00000
681,623923584,0.80176,1.00000
682,624843350,0.80205,1.00000
683,625753001,0.80234,1.00000
684,626243783,0.80263,1.00000
685,626277112,0.80292,1.00000
686,627723270,0.80321,1.00000
687,628875775,0.80349,1.00000
688,628968108,0.80378,1.00000
689,631996681,0.80406,1.00000
690,632768976,0.80435,1.00000
691,633379848,0.80463,1.00000
692,634375730,0.80491,1.00000
693,636061975,0.80519,1.00000
694,636467834,0.80548,1.00000
697,640286539,0.80344,1.00000
698,641837927,0.80372,1.00000
699,642660574,0.80401,1.00000
700,644006825,0.80429,1.00000
701,644195288,0.80456,1.00000
702,644893386,0.80484,1.00000
703,646148549,0.80512,1.00000
704,646438894,0.80540,1.00000
705,646961556,0.80567,1.00000
707,649214097,0.80481,1.00000
708,650672265,0.80508,1.00000
709,650870383,0.80536,1.00000
710,651250717,0.80563,1.00000
711,651390845,0.80591,1.00000
713,654979088,0.80505,1.00000
714,655761017,0.80532,1.00000
715,656502496,0.80559,1.00000
716,656708269,0.80587,1.00000
721,666595249,0.80166,1.00000
723,668324629,0.80083,1.00000
724,668386996,0.80110,1.00000
725,669255856,0.80138,1.00000
726,669808488,0.80165,1.00000
727,670698208,0.80193,1.00000
728,671198734,0.80220,1.00000
729,672495925,0.80247,1.00000
730,672674755,0.80274,1.00000
731,673060020,0.80301,1.00000
732,674359818,0.80328,1.00000
733,674396842,0.80355,1.00000
734,675094091,0.80381,1.00000
735,675719792,0.80408,1.00000
736,675838464,0.80435,1.00000
737,676817632,0.80461,1.00000
738,677017847,0.80488,1.00000
739,677463734,0.80514,1.00000
740,679303889,0.80541,1.00000
743,682788098,0.80350,1.00000
745,684985473,0.80268,1.00000
746,685612424,0.80295,1.00000
747,685895406,0.80321,1.00000
748,686533681,0.80348,1.00000
749,686538193,0.80374,1.00000
750,686732652,0.80400,1.00000
752,688498028,0.80319,1.00000
753,689188142,0.80345,1.00000
754,689725440,0.80371,1.00000
755,689802145,0.80397,1.00000
756,691105069,0.80423,1.00000
757,691460856,0.80449,1.00000
758,692677369,0.80475,1.00000
759,693640342,0.80501,1.00000
760,693874201,0.80526,1.00000
761,694410262,0.80552,1.00000
763,696854585,0.79948,1.00000
764,697123102,0.79974,1.00000
765,697412813,0.80000,1.00000
766,697439086,0.80026,1.00000
767,698611644,0.80052,1.00000
768,699723917,0.80078,1.00000
769,700341949,0.80104,1.00000
770,701299065,0.80130,1.00000
771,702580545,0.80156,1.00000
772,702808000,0.80181,1.00000
773,704062294,0.80207,1.00000
774,704550978,0.80233,1.00000
775,704825894,0.80258,1.00000
776,706404335,0.80284,1.00000
779,713712458,0.79974,1.00000
780,714726768,0.80000,1.00000
781,716478881,0.80026,1.00000
782,718703296,0.80051,1.00000
783,719276828,0.80077,1.00000
784,719740182,0.80102,1.00000
785,720756037,0.80127,1.00000
786,721473257,0.80153,1.00000
787,723417759,0.80178,1.00000
788,724147658,0.80203,1.00000
789,724518042,0.80228,1.00000
790,725366856,0.80253,1.00000
791,725528121,0.80278,1.00000
792,726237119,0.80303,1.00000
793,726492191,0.80328,1.00000
794,726808021,0.80353,1.00000
795,726982434,0.80377,1.00000
796,729183671,0.80402,1.00000
797,729315885,0.80427,1.00000
798,729512976,0.80451,1.00000
799,730517073,0.80476,1.00000
801,732611044,0.80400,1.00000
802,734329119,0.80424,1.00000
803,735770964,0.80448,1.00000
804,737181310,0.80473,1.00000
806,738532898,0.80273,1.00000
807,739555404,0.80297,1.00000
808,740843692,0.80322,1.00000
809,741389037,0.80346,1.00000
